CO,O3,SO2,HCHO,NO2,CO_N,NO2_N,SO2_N,O3_N,AQI,Category,Hotspot
0.0463629833289338,0.112839319913315,0.00020268860773885056,9.946133414244965e-05,1.195230642189274e-05,0.8105896392713264,0.051842232739315784,0.09526053086383424,0.7013240951279159,206.0,Poor,Normal
0.0431463670187983,0.1307253147001164,0.0006145031378168289,0.00013007527729781395,3.172952592690309e-05,0.7543517600993055,0.13762443914571068,0.2888070315295905,0.8124899468802352,245.0,Poor,Normal
0.0399545871099198,0.1110836301146702,2.289421149421481e-05,6.915144582819801e-05,1.244401664922146e-05,0.6985481094451709,0.053974988974445894,0.01075992758042794,0.6904120516992088,183.0,Moderate,Normal
0.0416514451303258,0.1186860289143201,0.00029710609652386214,0.00014437666405229323,3.734314925279767e-05,0.7282152152243017,0.1619731093269587,0.13963529965241245,0.7376628279628548,221.0,Poor,Normal
0.0401607721466857,0.110237251929446,9.056688076406448e-05,9.553246355734983e-05,9.74798519906872e-06,0.7021529562987363,0.042281154748833726,0.04256504219212062,0.685151603343579,184.0,Moderate,Normal
0.0350273658479673,0.1524805236600778,0.00026749970592821425,8.796233943558234e-05,3.2164005953668384e-05,0.6124027793010777,0.13950896367788743,0.12572075104227437,0.9477039152902247,229.0,Poor,Normal
0.0419734278202892,0.1098975763468801,-5.035458070292803e-06,6.979798251338984e-05,8.000517557841629e-06,0.7338446163924133,0.03470164490670135,-0.0023665879117227145,0.6830404361479324,182.0,Moderate,Normal
0.0392877367672,0.1098783864600484,4.061672549429386e-05,0.00010398966737896844,1.575691134686001e-05,0.6868891966673154,0.06834442127424341,0.019089236813556915,0.6829211662867866,183.0,Moderate,Normal
0.0356719288869168,0.1089132791582101,-7.770596264260653e-06,0.000121896666187512,9.929432584038636e-06,0.6236720308400235,0.0430681691734573,-0.003652060831241836,0.6769227873025543,169.0,Moderate,Normal
0.0340048427671898,0.1085743629867798,-5.874345240748704e-05,8.395562037990635e-05,9.770951555430687e-06,0.5945254436405664,0.04238076959718721,-0.027608519904194846,0.6748163400336841,162.0,Moderate,Normal
0.0129832270760286,0.1449817442799497,-4.113383067809508e-06,9.477816007433182e-05,3.282923549388412e-06,0.22699292833401366,0.01423943469195489,-0.0019332268303441202,0.9010971591756688,143.0,Moderate,Normal
0.0341069256462569,0.1145782364212437,9.965821569873263e-06,7.275240951618284e-05,9.902624616622276e-06,0.5963102149856653,0.04295189162525779,0.004683782990228757,0.7121318884340345,170.0,Moderate,Normal
0.0457140766741127,0.127428013896896,5.982840669726704e-05,6.574222921448753e-05,1.2506197437864049e-05,0.7992444458975442,0.05424469348192226,0.028118431747590603,0.7919964123218954,210.0,Poor,Normal
0.0391289934445753,0.1249121040865155,9.238999389115064e-05,0.00012770365340439437,4.173877323371191e-05,0.6841137994994895,0.18103879869346232,0.04342187734555369,0.7763594147527497,214.0,Poor,Normal
0.0388821110052765,0.1209983822081562,0.00021221780612259444,0.00012031671239611326,2.637669721163598e-05,0.6797974174842546,0.1144069460297146,0.09973910766629475,0.7520346717728094,206.0,Poor,Normal
